ORDERID   ITEMID   QTY   PRICEPAID 
41        1        12    20        
41        2        11    100       
41        3        1     250       
41        4        15    250       
41        5        1     25000     
41        1        1     250       
42        2        1     250       
43        3        11    250       
44        4        1     250       
45        5        1     19999     
46        1        4     250       
47        2        1     250       
48        3        1     250       
49        4        1     2500                
